school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes,longitude,latitude,in_survey_dropdown
SITE 905,District Facility,DISTRICT,905,84 ROBERT T. MARTINEZ JR. STREET,AUSTIN,TX,78702,,SITE 905 DIST.svg,,,,,,,,-97.72190688599996,30.25459471900007,yes
SITE 906,District Facility,DISTRICT,906,1106 RIO GRANDE,AUSTIN,TX,78701,,SITE 906 DIST.svg,,,,,,,,-97.74794406199999,30.275176370000054,yes
SITE 907,District Facility,DISTRICT,907,1203 SPRINGDALE ROAD,AUSTIN,TX,78721,,SITE 907 DIST.svg,,,,,,,,-97.68610131599996,30.279456277000065,yes
SITE 908,District Facility,DISTRICT,908,2117 W 49TH STREET,AUSTIN,TX,78756,,SITE 908 DIST.svg,,,,,,,,-97.74023877899998,30.319664985000028,yes
SMALL,Middle School,MID,060,4801 MONTEREY OAKS BLVD.,AUSTIN,TX,78749,,SMALL MS.svg,,,,,,,,-97.84186341899999,30.23363973800008,yes
SOUTHEAST BUS,District Facility,DISTRICT,955,7200 BLUFF SPRINGS ROAD,AUSTIN,TX,78744,,SOUTHEAST BUS DIST.svg,,,,,,,,-97.77021246241459,30.180903437357635,yes
ST ELMO,Elementary School,ELEM,136,600 W. ST. ELMO ROAD,AUSTIN,TX,78745,,ST ELMO ES.svg,,,,,,,,-97.77356850699995,30.221838299000073,yes
SUMMITT,Elementary School,ELEM,138,12207 BRIGADOON LANE,AUSTIN,TX,78727,,SUMMITT ES.svg,,,,,,,,-97.71913367699995,30.41872702400008,yes
SUNSET VALLEY,Elementary School,ELEM,158,3000 JONES ROAD,SUNSET VALLEY,TX,78745,,SUNSET VALLEY ES.svg,,,,,,,,-97.80694721199995,30.227845459000036,yes
TRAVIS,High School,HIGH,007,1211 E. OLTORF STREET,AUSTIN,TX,78704,,TRAVIS HS.svg,,,,,,,,-97.74454510599999,30.233332373000056,yes
TRAVIS GPA,Alternative Education,ALT ED 1,023,1211 E. OLTORF STREET,AUSTIN,TX,78704,,TRAVIS GPA ALT.svg,,,,,,,,-97.74455395899997,30.234853022000035,yes
TRAVIS HEIGHTS,Elementary School,ELEM,140,2010 ALAMEDA DRIVE,AUSTIN,TX,78704,,TRAVIS HEIGHTS ES.svg,,,,,,,,-97.74589772099995,30.241443206000042,yes
UPHAUS,Elementary School,ELEM,177,5200 FREIDRICH LANE,AUSTIN,TX,78744,,UPHAUS ES.svg,,,,,,,,-97.75575514599996,30.201677209000025,yes
WALNUT CREEK,Elementary School,ELEM,141,401 W. BRAKER LANE,AUSTIN,TX,78753,,WALNUT CREEK ES.svg,,,,,,,,-97.68382891399995,30.379743356000066,yes
WEBB,Middle School,MID,053,601 E. ST. JOHNS AVE.,AUSTIN,TX,78752,,WEBB MS.svg,,,,,,,,-97.70685404599999,30.333496352000054,yes
WIDEN,Elementary School,ELEM,175,5605 NUCKOLS CROSSING,AUSTIN,TX,78744,,WIDEN ES.svg,,,,,,,,-97.73970393399998,30.18845870000007,yes
WILLIAMS,Elementary School,ELEM,166,500 MAIRO STREET,AUSTIN,TX,78748,,WILLIAMS ES.svg,,,,,,,,-97.79113723799998,30.18102477800005,yes
WINN,Elementary School,ELEM,157,3500 SUSQUEHANNA LANE,AUSTIN,TX,78723,,WINN ES.svg,,,,,,,,-97.66526866299995,30.313875539000037,yes
WOOLDRIDGE,Elementary School,ELEM,152,1412 NORSEMAN TERRACE,AUSTIN,TX,78758,,WOOLDRIDGE ES.svg,,,,,,,,-97.70971263599995,30.364958535000028,yes
WOOTEN,Elementary School,ELEM,144,1406 DALE DRIVE,AUSTIN,TX,78757,,WOOTEN ES.svg,,,,,,,,-97.71918392599997,30.35360461100004,yes
ZAVALA,Elementary School,ELEM,145,310 ROBERT MARTINEZ JR. STREET,AUSTIN,TX,78702,,ZAVALA ES.svg,,,,,,,,-97.71999551999994,30.258037910000045,yes
ZILKER,Elementary School,ELEM,146,1900 BLUEBONNET LANE,AUSTIN,TX,78704,,ZILKER ES.svg,,,,,,,,-97.77412394699996,30.252749876000056,yes
